index,Job Title,Lower Salary Expectations,Higher Salary Expectation,Rating,Company Name,Location,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Total Years
21,Data Scientist/Machine Learning,$137,$171,4.3,PulsePoint,New York, NY,"New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",12
22,Human Factors Scientist,$137,$171,3.5,Exponent,Phoenix, AZ,"Menlo Park, CA",1001 to 5000 employees,1967,Company - Public,Consulting,Business Services,$100 to $500 million (USD),,56
23,Business Intelligence Analyst I- Data Insights,$137,$171,3.5,Guardian Life,Appleton, WI,"New York, NY",5001 to 10000 employees,1860,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),Northwestern Mutual,163
24,Data Scientist,$137,$171,3.4,Spectrum Communications and Consulting,Chicago, IL,"Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,31
25,Data Scientist,$137,$171,4.7,Oversight Systems,Atlanta, GA,"Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,20
26,Data Scientist - Risk,$137,$171,4.2,LSQ,Orlando, FL,"Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,27
27,Data Scientist-Human Resources,$137,$171,3.8,MIT Lincoln Laboratory,Lexington, MA,"Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,,72
28,Data Scientist,$137,$171,4.5,Kingfisher Systems,McLean, VA,"Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),,18
29,Data Scientist,$137,$171,2.8,Formation,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,8
30,Data Scientist,$75,$131,3.8,Analysis Group,Boston, MA,"Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,42
31,Data Scientist / Machine Learning Expert,$75,$131,3.9,Novartis,Cambridge, MA,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,27
32,Data Scientist,$75,$131,5,Cohere Health,Boston, MA,"Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,4
33,Senior Research Statistician- Data Scientist,$75,$131,4.8,Acuity Insurance,Sheboygan, WI,"Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,98
34,Data Engineer,$75,$131,3.6,Chef,United States,,"Seattle, WA",201 to 500 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Puppet, Ansible, SaltStack",15
35,Associate Data Scientist,$75,$131,3.3,Puget Sound Energy,Bothell, WA,"Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),,24
36,Business Intelligence Analyst,$75,$131,2.7,Sandhills Global,Lincoln, NE,"Lincoln, NE",1001 to 5000 employees,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),,45
37,Data Scientist,$75,$131,2.7,A Place for Mom,Overland Park, KS,"New York, NY",501 to 1000 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Enlivant, Sunrise Senior Living, Brookdale Senior Living",23
38,Data Scientist,$75,$131,2.2,Great-Circle Technologies,Chantilly, VA,"Chantilly, VA",1 to 50 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),,23
39,Senior Analyst/Data Scientist,$75,$131,3.4,Edmunds.com,Santa Monica, CA,"Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book",57
40,Data Analyst,$75,$131,3.1,"Cambridge Associates, LLC",Boston, MA,"Boston, MA",501 to 1000 employees,1973,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,50
41,Machine Learning Engineer,$75,$131,3.4,Liberty Mutual Insurance,Portsmouth, NH,"Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",111
42,Data Analyst I,$75,$131,2.6,Cenlar,Ewing, NJ,"Ewing, NJ",1001 to 5000 employees,1958,Company - Private,,,$100 to $500 million (USD),,65
43,Scientist - Molecular Biology,$75,$131,5,Arsenal Biosciences,South San Francisco, CA,"South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,4
44,Data Scientist,$75,$131,4.2,Eversight,Palo Alto, CA,"Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,10
45,"Computational Scientist, Machine Learning",$75,$131,4.1,Pfizer,Cambridge, MA,"New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,174
46,Senior Data Scientist,$75,$131,4.8,Klaviyo,Boston, MA,"Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,11
47,Data Scientist,$75,$131,3.3,Intellectual Ventures,Bellevue, WA,"Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,23
48,Data Scientist,$75,$131,3.7,GovTech,San Francisco, CA,"Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,,7
49,Data Scientist,$75,$131,4.3,Quick Base,Cambridge, MA,"Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,24
50,Data Analyst,$75,$131,4.8,Giving Assistant,San Francisco, CA,"San Francisco, CA",1 to 50 employees,2014,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,9
51,Data Scientist,$75,$131,3.7,Takeda,Cambridge, MA,"OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",242
52,Data Scientist,$75,$131,4,Netskope,San Francisco, CA,"Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",11
53,Jr. Data Engineer,$75,$131,4.8,IT Concepts,Remote,,"Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),,20
54,E-Commerce Data Analyst,$75,$131,3.5,iSeatz,New Orleans, LA,"New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,24
55,Data Analytics Engineer,$75,$131,3.7,Summa Health System,Akron, OH,"Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),,97
56,Senior Data Scientist,$75,$131,3.5,Benson Hill,Saint Louis, MO,"Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),,11
57,Product Data Scientist - Ads Data Science,$75,$131,4.1,Twitter,San Francisco, CA,"San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",17
58,Data Scientist,$75,$131,3.2,Postmates - Corporate HQ,San Francisco, CA,"San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub",12
59,Data Scientist - Intermediate,$75,$131,4.5,Envision LLC,Saint Louis, MO,"Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),,29
60,Data Analyst,$75,$131,3.8,Swiss Re,Fort Wayne, IN,"Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",160
61,Machine Learning Engineer,$75,$131,4.5,Systems & Technology Research,Woburn, MA,"Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),,13
62,Data Scientist,$79,$131,3.5,iRobot,Bedford, MA,"Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,33
63,Data Scientist,$79,$131,4.2,HG Insights,Santa Barbara, CA,"Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,13
64,Global Data Analyst,$79,$131,3.8,Dermalogica,Carson, CA,"Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's",37
65,Data Engineer,$79,$131,3.7,Bayview Asset Management,Coral Gables, FL,"Coral Gables, FL",1001 to 5000 employees,1995,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,28
66,Data Scientist,$79,$131,3.7,Via Transportation,New York, NY,"New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,11
67,Data Scientist,$79,$131,4,Grid Dynamics,Santa Clara, CA,"San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent",17
68,Data & Machine Learning Scientist,$79,$131,3.3,Tempus Labs,Chicago, IL,"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,8
69,Data Scientist - Machine Learning,$79,$131,2.5,CareDx,Brisbane, CA,"Brisbane, CA",1 to 50 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Sequenom,2023
70,Data Engineer (Remote),$79,$131,4.2,IZEA,Winter Park, FL,"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",17
71,"Data Scientist, Applied Machine Learning - Bay Area",$79,$131,3.3,Tempus Labs,Redwood City, CA,"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,8
72,Principal Data Scientist,$79,$131,4,Autodesk,San Francisco, CA,"San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,41
73,Business Data Analyst,$79,$131,3.7,Caterpillar,Peoria, IL,"Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",98
74,Purification Scientist,$79,$131,4.9,New England Biolabs,Ipswich, MA,"Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",49
75,Data Analyst,$79,$131,3.4,Allied Solutions,Carmel, IN,"Carmel, IN",1001 to 5000 employees,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),"CUNA Mutual, SWBC, Overby-Seawell",22
76,"Data Engineer, Enterprise Analytics",$79,$131,3.1,Healthfirst,New York, NY,"New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna",30
77,Data Scientist,$79,$131,3.5,The Knot Worldwide,Washington, DC,"Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Zola Registry,4
78,Data Scientist,$79,$131,2.9,IFG Companies,New York, NY,"Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI",38
79,Data Scientist 3 (718),$79,$131,3.3,Amyris,Emeryville, CA,"Emeryville, CA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,20
80,"Real World Science, Data Scientist",$79,$131,4,AstraZeneca,Gaithersburg, MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",110
81,Data Scientist,$79,$131,3.6,Powertek,Washington, DC,"Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),,22
82,Data Engineer,$79,$131,4.7,Object Partners,Saint Louis, MO,"Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Solution Design Group, Intertech (Minnesota)",27
83,Data Scientist - Image and Video Analytics,$79,$131,4.9,The Mom Project,Longmont, CO,"Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,7
84,Data Scientist,$79,$131,4.3,Lightspeed Systems,Austin, TX,"Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,24
85,"Data Science Manager, Payment Acceptance - USA",$79,$131,4,Stripe,San Francisco, CA,"San Francisco, CA",1001 to 5000 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Braintree, Authorize.Net, PayPal",13
86,Data Analyst,$79,$131,2.6,Comprehensive Healthcare,Yakima, WA,"Yakima, WA",501 to 1000 employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,52
87,Data Scientist / Applied Mathematician,$79,$131,4.5,"Fullpower Technologies, Inc.",Santa Cruz, CA,"Santa Cruz, CA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),,20
88,Machine Learning Engineer,$79,$131,4.8,Klaviyo,Boston, MA,"Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,11
89,Data Scientist,$79,$131,3.9,Mars,United States,,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,112
90,Patient Safety- Associate Data Scientist,$79,$131,4,AstraZeneca,Gaithersburg, MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",110
91,Machine Learning Engineer,$79,$131,4.4,NuWave Solutions,Springfield, VA,"Mc Lean, VA",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,24
92,Senior Data Scientist,$79,$131,4.2,ManTech,Alexandria, VA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,55
93,(Sr.) Data Scientist -,$79,$131,3.6,Merrick Bank,Utah,,"South Jordan, UT",201 to 500 employees,1997,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,,26
94,Data Scientist,$99,$132,3.4,Mathematica Policy Research,Washington, DC,"Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,37
95,Staff Data Scientist - Analytics,$99,$132,4.4,Intuit - Data,San Diego, CA,"Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",40
96,Data Analytics Engineer,$99,$132,3.5,QOMPLX,Reston, VA,"Reston, VA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,8
97,"Data Scientist, Kinship - NYC/Portland",$99,$132,3.9,Mars,New York, NY,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,112
98,Senior Data Scientist,$99,$132,3.8,GutCheck,Denver, CO,"Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey",14
99,Applied Technology Researcher / Data Scientist,$99,$132,3.5,Inter-American Development Bank,Washington, DC,"Washington, DC",1001 to 5000 employees,1959,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),"The World Bank, IMF",64
100,Data Scientist,$99,$132,4.9,Avlino,New Jersey,,"Holmdel, NJ",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),,10
101,Machine Learning Engineer,$99,$132,4.4,Stratagem Group,Aurora, CO,"Aurora, CO",1 to 50 employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,,16
102,Health Data Scientist - Biomedical/Biostats,$99,$132,4.1,Evidation,Santa Barbara, CA,"San Mateo, CA",51 to 200 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,11
103,Senior Data Scientist,$99,$132,4,Autodesk,San Francisco, CA,"San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,41
104,Staff Data Scientist,$99,$132,4.4,Intuit - Data,San Diego, CA,"Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",40
105,Data Scientist,$99,$132,3.8,Tecolote Research,Hill AFB, UT,"Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),,50
106,Sr Data Engineer (Sr BI Developer),$99,$132,3.2,Tivity Health,Chandler, AZ,"Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,42
107,Data Engineer,$99,$132,2.9,hc1,Indianapolis, IN,"Indianapolis, IN",51 to 200 employees,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),,12
108,Lead Data Scientist,$99,$132,4.1,HP Inc.,San Diego, CA,"Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,84
109,Data Scientist,$99,$132,3.7,SAIC,Chantilly, VA,"Reston, VA",10000+ employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International",10
110,RFP Data Analyst,$99,$132,3.2,AllianceBernstein,Nashville, TN,"New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,56
111,Data Analyst,$99,$132,4.9,Big Huge Games,Timonium, MD,"Lutherville Timonium, MD",51 to 200 employees,2013,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,,10
112,Data Scientist (TS/SCI),$99,$132,3.5,Maxar Technologies,Herndon, VA,"Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,2023
113,Data Engineer,$99,$132,5,Phantom AI,Burlingame, CA,"Burlingame, CA",1 to 50 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,7
114,Data Scientist,$99,$132,4,Noblis,Reston, VA,"Reston, VA",1001 to 5000 employees,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),"Booz Allen Hamilton, SAIC, LMI",27
115,Data Scientist,$99,$132,3.6,Spring Health,New York, NY,"New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,7
116,Software Engineer - Data Science,$99,$132,4,ClearEdge,Annapolis Junction, MD,"Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),,21
117,Data Analyst/Engineer,$99,$132,3.2,AllianceBernstein,Nashville, TN,"New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,56
118,NGS Scientist,$99,$132,5,Arsenal Biosciences,South San Francisco, CA,"South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,4
119,Data Engineer,$99,$132,4.8,GetWellNetwork,Bethesda, MD,"Bethesda, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Epic, CipherHealth",23
120,Data Scientist,$99,$132,4.5,TACG Solutions,Dayton, OH,"Beavercreek, OH",51 to 200 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Copper River Shared Services, Chenega Corporation, Deloitte",17
121,Senior Data Engineer,$99,$132,4.7,Scoop,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,8
122,Senior Data Scientist,$99,$132,4.5,Novetta,Herndon, VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",11
123,Data Engineer,$99,$132,4.2,IZEA,Winter Park, FL,"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",17
124,Business Intelligence Analyst,$99,$132,3.4,Montway Inc,Schaumburg, IL,"Schaumburg, IL",51 to 200 employees,2006,Company - Private,Shipping,Transportation & Logistics,Unknown / Non-Applicable,,17
125,Sr. ML/Data Scientist - AI/NLP/Chatbot,$99,$132,3.8,Juniper Networks,Cupertino, CA,"Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),,27
126,Data Scientist,$90,$109,4.7,1904labs,Saint Louis, MO,"Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",7
127,Data Scientist,$90,$109,3.6,XSELL Technologies,Chicago, IL,"Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,9
128,Data Engineer,$90,$109,4.2,IZEA,Winter Park, FL,"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",17
129,Sr. ML/Data Scientist - AI/NLP/Chatbot,$90,$109,3.8,Juniper Networks,Cupertino, CA,"Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),,27
